['Try', '1,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '14.6,', 'CFOM', '34.5,', 'best', '34.5,', 'PATFOM', '48.61']
['Try', '2,', 'CPU', '7,', 'CC', 'All/Weak', '19.6', '/', '13.5,', 'CFOM', '33.1,', 'best', '34.5,', 'PATFOM', '35.84']
['Try', '3,', 'CPU', '12,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.5,', 'best', '37.8,', 'PATFOM', '48.61']
['Try', '4,', 'CPU', '2,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '37.8,', 'PATFOM', '49.32']
['Try', '5,', 'CPU', '13,', 'CC', 'All/Weak', '21.3', '/', '16.3,', 'CFOM', '37.7,', 'best', '37.8,', 'PATFOM', '49.11']
['Try', '6,', 'CPU', '10,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '37.8,', 'PATFOM', '49.75']
['Try', '7,', 'CPU', '4,', 'CC', 'All/Weak', '19.4', '/', '14.4,', 'CFOM', '33.8,', 'best', '37.8,', 'PATFOM', '49.75']
['Try', '8,', 'CPU', '11,', 'CC', 'All/Weak', '20.3', '/', '16.0,', 'CFOM', '36.3,', 'best', '37.8,', 'PATFOM', '50.80']
['Try', '9,', 'CPU', '5,', 'CC', 'All/Weak', '20.9', '/', '16.4,', 'CFOM', '37.3,', 'best', '37.8,', 'PATFOM', '49.11']
['Try', '10,', 'CPU', '9,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.8,', 'best', '37.8,', 'PATFOM', '49.75']
['Try', '11,', 'CPU', '8,', 'CC', 'All/Weak', '19.7', '/', '15.1,', 'CFOM', '34.9,', 'best', '38.2,', 'PATFOM', '49.75']
['Try', '12,', 'CPU', '14,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '38.2,', 'PATFOM', '49.75']
['Try', '13,', 'CPU', '3,', 'CC', 'All/Weak', '19.5', '/', '14.5,', 'CFOM', '34.0,', 'best', '38.2,', 'PATFOM', '49.75']
['Try', '14,', 'CPU', '15,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '38.2,', 'PATFOM', '49.32']
['Try', '15,', 'CPU', '16,', 'CC', 'All/Weak', '21.4', '/', '16.9,', 'CFOM', '38.2,', 'best', '38.2,', 'PATFOM', '50.98']
['Try', '16,', 'CPU', '6,', 'CC', 'All/Weak', '19.4', '/', '14.4,', 'CFOM', '33.8,', 'best', '38.2,', 'PATFOM', '49.75']
['Try', '17,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '38.2,', 'PATFOM', '49.75']
['Try', '18,', 'CPU', '2,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '19,', 'CPU', '7,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.4,', 'best', '38.5,', 'PATFOM', '50.98']
['Try', '20,', 'CPU', '12,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '38.5,', 'PATFOM', '50.98']
['Try', '21,', 'CPU', '4,', 'CC', 'All/Weak', '21.4', '/', '17.0,', 'CFOM', '38.4,', 'best', '38.5,', 'PATFOM', '50.98']
['Try', '22,', 'CPU', '1,', 'CC', 'All/Weak', '20.3', '/', '16.0,', 'CFOM', '36.3,', 'best', '38.5,', 'PATFOM', '50.80']
['Try', '23,', 'CPU', '3,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.6,', 'best', '38.5,', 'PATFOM', '48.61']
['Try', '24,', 'CPU', '15,', 'CC', 'All/Weak', '14.1', '/', '8.8,', 'CFOM', '23.0,', 'best', '38.5,', 'PATFOM', '30.95']
['Try', '25,', 'CPU', '5,', 'CC', 'All/Weak', '20.3', '/', '15.8,', 'CFOM', '36.1,', 'best', '38.5,', 'PATFOM', '48.18']
['Try', '26,', 'CPU', '9,', 'CC', 'All/Weak', '20.3', '/', '15.8,', 'CFOM', '36.1,', 'best', '38.5,', 'PATFOM', '48.18']
['Try', '27,', 'CPU', '14,', 'CC', 'All/Weak', '19.6', '/', '14.6,', 'CFOM', '34.2,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '28,', 'CPU', '11,', 'CC', 'All/Weak', '20.1', '/', '15.1,', 'CFOM', '35.2,', 'best', '38.5,', 'PATFOM', '48.18']
['Try', '29,', 'CPU', '6,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '30,', 'CPU', '13,', 'CC', 'All/Weak', '21.0', '/', '16.6,', 'CFOM', '37.5,', 'best', '38.5,', 'PATFOM', '49.32']
['Try', '31,', 'CPU', '10,', 'CC', 'All/Weak', '19.5', '/', '14.5,', 'CFOM', '33.9,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '32,', 'CPU', '8,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '33,', 'CPU', '16,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '34,', 'CPU', '2,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '35,', 'CPU', '4,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.5,', 'PATFOM', '48.18']
['Try', '36,', 'CPU', '12,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '37,', 'CPU', '7,', 'CC', 'All/Weak', '21.4', '/', '17.0,', 'CFOM', '38.4,', 'best', '38.5,', 'PATFOM', '50.98']
['Try', '38,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.5,', 'PATFOM', '48.18']
['Try', '39,', 'CPU', '3,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '38.0,', 'best', '38.5,', 'PATFOM', '49.32']
['Try', '40,', 'CPU', '5,', 'CC', 'All/Weak', '14.1', '/', '6.8,', 'CFOM', '20.9,', 'best', '38.5,', 'PATFOM', '29.13']
['Try', '41,', 'CPU', '15,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '42,', 'CPU', '9,', 'CC', 'All/Weak', '19.7', '/', '14.8,', 'CFOM', '34.4,', 'best', '38.5,', 'PATFOM', '49.29']
['Try', '43,', 'CPU', '14,', 'CC', 'All/Weak', '21.4', '/', '17.0,', 'CFOM', '38.4,', 'best', '38.5,', 'PATFOM', '49.32']
['Try', '44,', 'CPU', '6,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '45,', 'CPU', '11,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.5,', 'PATFOM', '49.75']
['Try', '46,', 'CPU', '13,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.6,', 'PATFOM', '49.75']
['Try', '47,', 'CPU', '8,', 'CC', 'All/Weak', '21.5', '/', '17.1,', 'CFOM', '38.6,', 'best', '38.6,', 'PATFOM', '50.98']
['Try', '48,', 'CPU', '16,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '38.6,', 'PATFOM', '49.32']
['Try', '49,', 'CPU', '10,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '38.6,', 'PATFOM', '49.32']
['Try', '50,', 'CPU', '4,', 'CC', 'All/Weak', '21.1', '/', '16.5,', 'CFOM', '37.6,', 'best', '38.6,', 'PATFOM', '49.11']
['Try', '51,', 'CPU', '2,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '38.6,', 'PATFOM', '49.75']
['Try', '52,', 'CPU', '12,', 'CC', 'All/Weak', '21.5', '/', '17.1,', 'CFOM', '38.6,', 'best', '38.6,', 'PATFOM', '50.98']
['Try', '53,', 'CPU', '7,', 'CC', 'All/Weak', '14.8', '/', '8.9,', 'CFOM', '23.7,', 'best', '38.6,', 'PATFOM', '30.95']
['Try', '54,', 'CPU', '5,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '38.6,', 'PATFOM', '49.75']
['Try', '55,', 'CPU', '9,', 'CC', 'All/Weak', '20.9', '/', '16.4,', 'CFOM', '37.3,', 'best', '38.6,', 'PATFOM', '49.11']
['Try', '56,', 'CPU', '6,', 'CC', 'All/Weak', '19.7', '/', '14.9,', 'CFOM', '34.6,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '57,', 'CPU', '15,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '58,', 'CPU', '14,', 'CC', 'All/Weak', '21.8', '/', '17.4,', 'CFOM', '39.2,', 'best', '39.2,', 'PATFOM', '47.07']
['Try', '59,', 'CPU', '11,', 'CC', 'All/Weak', '19.5', '/', '14.6,', 'CFOM', '34.1,', 'best', '39.2,', 'PATFOM', '50.53']
['Try', '60,', 'CPU', '8,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '61,', 'CPU', '16,', 'CC', 'All/Weak', '20.1', '/', '15.1,', 'CFOM', '35.2,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '62,', 'CPU', '13,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '63,', 'CPU', '10,', 'CC', 'All/Weak', '20.3', '/', '16.0,', 'CFOM', '36.3,', 'best', '39.2,', 'PATFOM', '47.06']
['Try', '64,', 'CPU', '3,', 'CC', 'All/Weak', '20.0', '/', '15.1,', 'CFOM', '35.1,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '65,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '66,', 'CPU', '4,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '67,', 'CPU', '2,', 'CC', 'All/Weak', '12.3', '/', '4.7,', 'CFOM', '17.0,', 'best', '39.2,', 'PATFOM', '22.57']
['Try', '68,', 'CPU', '12,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '69,', 'CPU', '7,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '39.2,', 'PATFOM', '49.75']
