['Try', '1,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.5,', 'best', '36.8,', 'PATFOM', '29.67']
['Try', '2,', 'CPU', '16,', 'CC', 'All/Weak', '21.4', '/', '15.4,', 'CFOM', '36.8,', 'best', '36.8,', 'PATFOM', '26.35']
['Try', '3,', 'CPU', '7,', 'CC', 'All/Weak', '20.5', '/', '14.9,', 'CFOM', '35.3,', 'best', '36.8,', 'PATFOM', '27.54']
['Try', '4,', 'CPU', '14,', 'CC', 'All/Weak', '19.2', '/', '11.7,', 'CFOM', '30.9,', 'best', '36.8,', 'PATFOM', '27.17']
['Try', '5,', 'CPU', '5,', 'CC', 'All/Weak', '21.3', '/', '14.6,', 'CFOM', '35.8,', 'best', '36.8,', 'PATFOM', '26.45']
['Try', '6,', 'CPU', '6,', 'CC', 'All/Weak', '18.9', '/', '11.3,', 'CFOM', '30.3,', 'best', '36.8,', 'PATFOM', '27.74']
['Try', '7,', 'CPU', '8,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '36.8,', 'PATFOM', '27.74']
['Try', '8,', 'CPU', '2,', 'CC', 'All/Weak', '21.9', '/', '15.3,', 'CFOM', '37.2,', 'best', '37.2,', 'PATFOM', '25.60']
['Try', '9,', 'CPU', '11,', 'CC', 'All/Weak', '20.0', '/', '14.2,', 'CFOM', '34.2,', 'best', '37.2,', 'PATFOM', '27.11']
['Try', '10,', 'CPU', '15,', 'CC', 'All/Weak', '21.9', '/', '15.4,', 'CFOM', '37.2,', 'best', '37.2,', 'PATFOM', '26.24']
['Try', '11,', 'CPU', '10,', 'CC', 'All/Weak', '19.6', '/', '13.6,', 'CFOM', '33.2,', 'best', '37.2,', 'PATFOM', '30.21']
['Try', '12,', 'CPU', '12,', 'CC', 'All/Weak', '20.0', '/', '14.1,', 'CFOM', '34.1,', 'best', '41.0,', 'PATFOM', '27.74']
